Date,Value,ID,Description,Balance
01/09/2024,2500.00,1a2b3c4d5e6f7g8h9i0j,Salary,6001.35
03/09/2024,-15.75,2b3c4d5e6f7g8h9i0j1a,Starbucks,5985.60
05/09/2024,-45.30,3c4d5e6f7g8h9i0j1a2b,Transfer to John Doe,5940.30
07/09/2024,-120.50,4d5e6f7g8h9i0j1a2b3c,Walmart,5819.80
09/09/2024,-60.25,5e6f7g8h9i0j1a2b3c4d,Gas Station,5759.55
11/09/2024,-30.10,6f7g8h9i0j1a2b3c4d5e,Uber,5729.45
13/09/2024,-75.45,7g8h9i0j1a2b3c4d5e6f,Restaurant,5653.00
15/09/2024,500.00,8h9i0j1a2b3c4d5e6f7g,Transfer from Jane Smith,6153.00
17/09/2024,-20.60,9i0j1a2b3c4d5e6f7g8h,Public Transportation,6132.40
19/09/2024,-50.75,0j1a2b3c4d5e6f7g8h9i,Target,6081.65
21/09/2024,-35.20,1a2b3c4d5e6f7g8h9i0j,Bus Ticket,6046.45
23/09/2024,-90.15,2b3c4d5e6f7g8h9i0j1a,Concert,5956.30
25/09/2024,-25.80,3c4d5e6f7g8h9i0j1a2b,Lyft,5930.50
27/09/2024,-40.35,4d5e6f7g8h9i0j1a2b3c,Market,5890.15
29/09/2024,-15.90,5e6f7g8h9i0j1a2b3c4d,Bar,5874.25
01/10/2024,2500.00,6f7g8h9i0j1a2b3c4d5e,Salary,8374.25
03/10/2024,-18.75,7g8h9i0j1a2b3c4d5e6f,Starbucks,8355.50
05/10/2024,-50.30,8h9i0j1a2b3c4d5e6f7g,Transfer to Alice Johnson,8305.20
07/10/2024,-130.50,9i0j1a2b3c4d5e6f7g8h,Walmart,8174.70
09/10/2024,-70.25,0j1a2b3c4d5e6f7g8h9i,Gas Station,8104.45
11/10/2024,-35.10,1a2b3c4d5e6f7g8h9i0j,Uber,8069.35
13/10/2024,-85.45,2b3c4d5e6f7g8h9i0j1a,Restaurant,7983.90
15/10/2024,600.00,3c4d5e6f7g8h9i0j1a2b,Transfer from Bob Brown,8583.90
17/10/2024,-25.60,4d5e6f7g8h9i0j1a2b3c,Public Transportation,8558.30
19/10/2024,-60.75,5e6f7g8h9i0j1a2b3c4d,Target,8497.55
21/10/2024,-40.20,6f7g8h9i0j1a2b3c4d5e,Bus Ticket,8457.35
23/10/2024,-100.15,7g8h9i0j1a2b3c4d5e6f,Concert,8357.20
25/10/2024,-30.80,8h9i0j1a2b3c4d5e6f7g,Lyft,8326.40
27/10/2024,-50.35,9i0j1a2b3c4d5e6f7g8h,Market,8276.05
29/10/2024,-20.90,0j1a2b3c4d5e6f7g8h9i,Bar,8255.15
01/11/2024,2500.00,1a2b3c4d5e6f7g8h9i0j,Salary,10755.15
03/11/2024,-20.75,2b3c4d5e6f7g8h9i0j1a,Starbucks,10734.40
05/11/2024,-55.30,3c4d5e6f7g8h9i0j1a2b,Transfer to Charlie Davis,10679.10
07/11/2024,-140.50,4d5e6f7g8h9i0j1a2b3c,Walmart,10538.60
09/11/2024,-80.25,5e6f7g8h9i0j1a2b3c4d,Gas Station,10458.35
11/11/2024,-40.10,6f7g8h9i0j1a2b3c4d5e,Uber,10418.25
13/11/2024,-95.45,7g8h9i0j1a2b3c4d5e6f,Restaurant,10322.80
15/11/2024,700.00,8h9i0j1a2b3c4d5e6f7g,Transfer from David Evans,11022.80
17/11/2024,-30.60,9i0j1a2b3c4d5e6f7g8h,Public Transportation,10992.20
19/11/2024,-70.75,0j1a2b3c4d5e6f7g8h9i,Target,10921.45
21/11/2024,-45.20,1a2b3c4d5e6f7g8h9i0j,Bus Ticket,10876.25
23/11/2024,-110.15,2b3c4d5e6f7g8h9i0j1a,Concert,10766.10
25/11/2024,-35.80,3c4d5e6f7g8h9i0j1a2b,Lyft,10730.30
27/11/2024,-60.35,4d5e6f7g8h9i0j1a2b3c,Market,10669.95
